periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 706_Brucella,Brucellosis
202305,May 2023,202305,,XWALbfAPa6n,West Pokot County,KE_County_24,,1721,394
202306,June 2023,202306,,vvOK1BxTbet,Baringo County,KE_County_30,,1286,423
202306,June 2023,202306,,HMNARUV2CW4,Bomet County,KE_County_36,,653,100
202306,June 2023,202306,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3126,670
202306,June 2023,202306,,Tvf1zgVZ0K4,Busia County,KE_County_40,,464,116
202306,June 2023,202306,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1278,600
202306,June 2023,202306,,PFu8alU2KWG,Embu County,KE_County_14,,467,65
202306,June 2023,202306,,uyOrcHZBpW0,Garissa County,KE_County_7,,533,73
202306,June 2023,202306,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,939,296
202306,June 2023,202306,,bzOfj0iwfDH,Isiolo County,KE_County_11,,282,47
202306,June 2023,202306,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,819,105
202306,June 2023,202306,,BjC1xL40gHo,Kakamega County,KE_County_37,,1355,182
202306,June 2023,202306,,ihZsJ8alvtb,Kericho County,KE_County_35,,3143,802
202306,June 2023,202306,,qKzosKQPl6G,Kiambu County,KE_County_22,,170,13
202306,June 2023,202306,,nrI2khZx3d0,Kilifi County,KE_County_3,,34,44
202306,June 2023,202306,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,117,18
202306,June 2023,202306,,sPkRcDvhGWA,Kisii County,KE_County_45,,3736,831
202306,June 2023,202306,,tAbBVBbueqD,Kisumu County,KE_County_42,,545,235
202306,June 2023,202306,,j8o6iO4Njsi,Kitui County,KE_County_15,,598,233
202306,June 2023,202306,,N7YETT3A9r1,Kwale County,KE_County_2,,6,13
202306,June 2023,202306,,xuFdFy6t9AH,Laikipia County,KE_County_31,,73,40
202306,June 2023,202306,,NjWSbQTwys4,Lamu County,KE_County_5,,48,3
202306,June 2023,202306,,yhCUgGcCcOo,Machakos County,KE_County_16,,205,24
202306,June 2023,202306,,BoDytkJQ4Qi,Makueni County,KE_County_17,,88,44
202306,June 2023,202306,,R6f9znhg37c,Mandera County,KE_County_9,,529,19
202306,June 2023,202306,,Eey8fT4Im3y,Marsabit County,KE_County_10,,356,204
202306,June 2023,202306,,Y52XNJ50hYb,Meru County,KE_County_12,,108,185
202306,June 2023,202306,,fVra3Pwta0Q,Migori County,KE_County_44,,1429,541
202306,June 2023,202306,,wsBsC6gjHvn,Mombasa County,KE_County_1,,186,1
202306,June 2023,202306,,ahwTMNAJvrL,Muranga County,KE_County_21,,49,17
202306,June 2023,202306,,jkG3zaihdSs,Nairobi County,KE_County_47,,773,183
202306,June 2023,202306,,ob6SxuRcqU4,Nakuru County,KE_County_32,,2644,546
202306,June 2023,202306,,t0J75eHKxz5,Nandi County,KE_County_29,,1350,530
202306,June 2023,202306,,kqJ83J2D72s,Narok County,KE_County_33,,2080,603
202306,June 2023,202306,,uepLTG8wGWJ,Nyamira County,KE_County_46,,817,187
202306,June 2023,202306,,mYZacFNIB3h,Nyandarua County,KE_County_18,,428,41
202306,June 2023,202306,,ptWVfaCIdVx,Nyeri County,KE_County_19,,192,
202306,June 2023,202306,,o36zCRjSd4G,Samburu County,KE_County_25,,463,57
202306,June 2023,202306,,u4t9H8XyU9P,Siaya County,KE_County_41,,500,105
202306,June 2023,202306,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,113,15
202306,June 2023,202306,,JsH2bnvNt2d,Tana River County,KE_County_4,,129,66
202306,June 2023,202306,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,493,61
202306,June 2023,202306,,mThvosEflAU,Trans Nzoia County,KE_County_26,,2045,484
202306,June 2023,202306,,kphDeKClFch,Turkana County,KE_County_23,,1035,291
202306,June 2023,202306,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,1490,763
202306,June 2023,202306,,sANMZ3lpqGs,Vihiga County,KE_County_38,,225,63
202306,June 2023,202306,,CeLsrJOH0g9,Wajir County,KE_County_8,,751,61
202306,June 2023,202306,,XWALbfAPa6n,West Pokot County,KE_County_24,,4179,382
202307,July 2023,202307,,vvOK1BxTbet,Baringo County,KE_County_30,,1375,459
202307,July 2023,202307,,HMNARUV2CW4,Bomet County,KE_County_36,,948,149
202307,July 2023,202307,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3353,883
202307,July 2023,202307,,Tvf1zgVZ0K4,Busia County,KE_County_40,,500,94
202307,July 2023,202307,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1335,570
202307,July 2023,202307,,PFu8alU2KWG,Embu County,KE_County_14,,445,53
202307,July 2023,202307,,uyOrcHZBpW0,Garissa County,KE_County_7,,582,42
202307,July 2023,202307,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,750,273
202307,July 2023,202307,,bzOfj0iwfDH,Isiolo County,KE_County_11,,398,79
202307,July 2023,202307,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,1019,126
202307,July 2023,202307,,BjC1xL40gHo,Kakamega County,KE_County_37,,785,229
202307,July 2023,202307,,ihZsJ8alvtb,Kericho County,KE_County_35,,2857,860
202307,July 2023,202307,,qKzosKQPl6G,Kiambu County,KE_County_22,,245,2
202307,July 2023,202307,,nrI2khZx3d0,Kilifi County,KE_County_3,,81,74
202307,July 2023,202307,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,89,11
202307,July 2023,202307,,sPkRcDvhGWA,Kisii County,KE_County_45,,5077,669
202307,July 2023,202307,,tAbBVBbueqD,Kisumu County,KE_County_42,,692,80
202307,July 2023,202307,,j8o6iO4Njsi,Kitui County,KE_County_15,,521,196
202307,July 2023,202307,,N7YETT3A9r1,Kwale County,KE_County_2,,0,2
202307,July 2023,202307,,xuFdFy6t9AH,Laikipia County,KE_County_31,,106,22
202307,July 2023,202307,,NjWSbQTwys4,Lamu County,KE_County_5,,14,3
202307,July 2023,202307,,yhCUgGcCcOo,Machakos County,KE_County_16,,199,39
202307,July 2023,202307,,BoDytkJQ4Qi,Makueni County,KE_County_17,,49,26
